longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,rooms_per_household
-122.05,37.37,27.0,3885.0,661.0,1537.0,606.0,6.6085,344700.0,6.410891089108911
-118.3,34.26,43.0,1510.0,310.0,809.0,277.0,3.599,176500.0,5.451263537906137
-117.81,33.78,27.0,3589.0,507.0,1484.0,495.0,5.7934,270500.0,7.25050505050505
-118.36,33.82,28.0,67.0,15.0,49.0,11.0,6.1359,330000.0,6.090909090909091
-119.67,36.33,19.0,1241.0,244.0,850.0,237.0,2.9375,81700.0,5.236286919831223
-119.56,36.51,37.0,1018.0,213.0,663.0,204.0,1.6635,67000.0,4.990196078431373
-121.43,38.63,43.0,1009.0,225.0,604.0,218.0,1.6641,67000.0,4.628440366972477
-120.65,35.48,19.0,2310.0,471.0,1341.0,441.0,3.225,166900.0,5.238095238095238
-122.84,38.4,15.0,3080.0,617.0,1446.0,599.0,3.6696,194400.0,5.141903171953255
-118.02,34.08,31.0,2402.0,632.0,2830.0,603.0,2.3333,164200.0,3.9834162520729683
-118.24,33.98,45.0,972.0,249.0,1288.0,261.0,2.2054,125000.0,3.7241379310344827
-119.12,35.85,37.0,736.0,166.0,564.0,138.0,2.4167,58300.0,5.333333333333333
-121.93,37.25,36.0,1089.0,182.0,535.0,170.0,4.69,252600.0,6.405882352941177
-117.03,32.97,16.0,3936.0,694.0,1935.0,659.0,4.5625,231200.0,5.972685887708649
-117.97,33.73,27.0,2097.0,325.0,1217.0,331.0,5.7121,222500.0,6.335347432024169
-117.99,33.81,42.0,161.0,40.0,157.0,50.0,2.2,153100.0,3.22
-120.81,37.53,15.0,570.0,123.0,189.0,107.0,1.875,181300.0,5.327102803738318
-121.2,38.69,26.0,3077.0,607.0,1603.0,595.0,2.7174,137500.0,5.171428571428572
-118.88,34.21,26.0,1590.0,196.0,654.0,199.0,6.5851,300000.0,7.989949748743719
-122.59,38.01,35.0,8814.0,1307.0,3450.0,1258.0,6.1724,414300.0,7.006359300476947
-122.15,37.75,40.0,1445.0,256.0,849.0,255.0,3.8913,126300.0,5.666666666666667
-121.37,38.68,36.0,1775.0,296.0,937.0,305.0,3.1786,83400.0,5.819672131147541
-118.16,34.07,47.0,2994.0,543.0,1651.0,561.0,3.8644,241500.0,5.336898395721925
-122.2,37.79,45.0,2021.0,528.0,1410.0,480.0,2.7788,115400.0,4.210416666666666
-117.28,33.28,13.0,6131.0,1040.0,4049.0,940.0,3.8156,150700.0,6.522340425531915
-118.03,34.16,36.0,1401.0,218.0,667.0,225.0,7.1615,484700.0,6.226666666666667
-122.42,37.76,52.0,3587.0,1030.0,2259.0,979.0,2.5403,250000.0,3.6639427987742597
-118.39,33.99,32.0,2612.0,418.0,1030.0,402.0,6.603,369200.0,6.497512437810945
-118.45,34.07,19.0,4845.0,1609.0,3751.0,1539.0,1.583,350000.0,3.1481481481481484
-118.48,34.01,30.0,3078.0,954.0,1561.0,901.0,3.4852,425000.0,3.416204217536071
-119.35,36.33,14.0,1195.0,220.0,568.0,229.0,3.1486,105600.0,5.218340611353712
-118.3,33.91,34.0,1617.0,493.0,1530.0,500.0,2.6182,172600.0,3.234
-121.13,39.31,17.0,3442.0,705.0,1693.0,619.0,2.8102,128900.0,5.560581583198708
-118.08,34.55,5.0,16181.0,2971.0,8152.0,2651.0,4.5237,141800.0,6.1037344398340245
-118.32,33.94,38.0,1067.0,170.0,499.0,169.0,4.6389,183800.0,6.313609467455621
-118.11,34.0,33.0,2886.0,726.0,2650.0,728.0,2.625,178700.0,3.9642857142857144
-122.53,37.97,52.0,1560.0,451.0,700.0,419.0,2.5125,270800.0,3.7231503579952268
-118.02,33.92,34.0,1478.0,251.0,956.0,277.0,5.5238,185300.0,5.335740072202166
-118.05,33.93,31.0,894.0,203.0,883.0,190.0,3.6771,141500.0,4.705263157894737
-119.01,34.23,11.0,5785.0,1035.0,2760.0,985.0,4.693,232200.0,5.873096446700508
-119.32,36.2,15.0,1562.0,275.0,961.0,287.0,3.4231,83300.0,5.442508710801394
-116.92,32.77,16.0,2770.0,406.0,1269.0,429.0,6.6783,275000.0,6.456876456876457
-118.06,34.15,37.0,1980.0,226.0,697.0,226.0,15.0001,500001.0,8.761061946902656
-117.27,34.09,36.0,848.0,186.0,737.0,169.0,0.9838,79300.0,5.017751479289941
-118.23,34.13,48.0,1308.0,286.0,835.0,294.0,4.2891,214800.0,4.448979591836735
-117.24,33.17,4.0,9998.0,1874.0,3925.0,1672.0,4.2826,237500.0,5.979665071770335
-121.91,37.44,24.0,1212.0,251.0,799.0,242.0,5.0808,212500.0,5.008264462809917
-118.29,33.94,47.0,1782.0,338.0,1003.0,329.0,2.5398,105700.0,5.416413373860182
-121.35,38.0,6.0,1649.0,369.0,732.0,350.0,3.4231,123800.0,4.711428571428572
-117.99,33.78,19.0,7399.0,1698.0,3554.0,1593.0,3.1049,173900.0,4.644695543000628
-120.99,37.7,14.0,9849.0,1887.0,4356.0,1780.0,3.5877,160900.0,5.53314606741573
-119.42,35.97,21.0,554.0,121.0,426.0,122.0,2.3516,47500.0,4.540983606557377
-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,156500.0,4.316810344827586
